X,YEAR,MONTH,DAY,PRIMARY_SAMPLE_UNIT,STATION_NR,LAT_DEGREES,LON_DEGREES,DEPTH,UNDERWATER_VISIBILITY,MAPGRID_NR,HABITAT_CD,ZONE_NR,SUBREGION_NR,MPA_NR,SPECIES_NR,SPECIES_CD,LEN,NUM,TIME_SEEN,PROT,STRAT,REGION,DEPTH_CLASS,RUGOSITY_CLASS,NUM2
58309,1999,7,8,300U,1,24.655,-83.08688,14.6,9,2599892,ISOL_HR,7,3,24,123,LAC MAXI,0,0,1,1,ISOL_HR,DRY TORT,NA,NA,0
58310,1999,7,8,300U,2,24.65612,-83.08705,18.9,9,2599893,ISOL_HR,7,3,24,123,LAC MAXI,0,0,1,1,ISOL_HR,DRY TORT,NA,NA,0
58311,1999,6,23,301U,1,24.64883,-83.0842,16.8,9,2607389,ISOL_MR,7,3,0,123,LAC MAXI,0,0,1,0,ISOL_MR,DRY TORT,NA,NA,0
58312,1999,6,23,301U,1,24.64883,-83.0842,15.6,9,2607389,ISOL_MR,7,3,0,123,LAC MAXI,27,0.5,1,0,ISOL_MR,DRY TORT,NA,NA,1
58313,1999,6,23,301U,2,24.6485,-83.08433,15.6,9,2607389,ISOL_MR,7,3,0,123,LAC MAXI,0,0,1,0,ISOL_MR,DRY TORT,NA,NA,0
58314,1999,6,23,301U,2,24.6485,-83.08433,15.6,9,2607389,ISOL_MR,7,3,0,123,LAC MAXI,34,0.5,1,0,ISOL_MR,DRY TORT,NA,NA,1
58315,1999,7,8,302U,1,24.65655,-83.07242,17.1,9,2629893,CONT_LR,7,3,24,123,LAC MAXI,0,0,1,1,CONT_LR,DRY TORT,NA,NA,0
58316,1999,7,8,302U,1,24.65655,-83.07242,16.8,9,2629893,CONT_LR,7,3,24,123,LAC MAXI,17,0.5,1,1,CONT_LR,DRY TORT,NA,NA,1
58317,1999,7,8,302U,2,24.65667,-83.0727,17.4,9,2629893,CONT_LR,7,3,24,123,LAC MAXI,0,0,1,1,CONT_LR,DRY TORT,NA,NA,0
58318,1999,7,8,302U,2,24.65667,-83.0727,16.2,9,2629893,CONT_LR,7,3,24,123,LAC MAXI,28,0.5,1,1,CONT_LR,DRY TORT,NA,NA,1
58319,1999,6,26,303U,1,24.65367,-83.05665,14.6,9,2659891,ISOL_MR,7,3,24,123,LAC MAXI,25,0.5,1,1,ISOL_MR,DRY TORT,NA,NA,1
58320,1999,6,26,303U,1,24.65367,-83.05665,14.6,9,2659891,ISOL_MR,7,3,24,123,LAC MAXI,30,0.25,1,1,ISOL_MR,DRY TORT,NA,NA,1
58321,1999,6,26,303U,1,24.65367,-83.05665,14.6,9,2659891,ISOL_MR,7,3,24,123,LAC MAXI,35,1.5,1,1,ISOL_MR,DRY TORT,NA,NA,2
58322,1999,6,26,303U,1,24.65367,-83.05665,15.6,9,2659891,ISOL_MR,7,3,24,123,LAC MAXI,40,0.75,1,1,ISOL_MR,DRY TORT,NA,NA,1
58323,1999,6,26,303U,1,24.65367,-83.05665,14.6,9,2659891,ISOL_MR,7,3,24,123,LAC MAXI,45,0.5,1,1,ISOL_MR,DRY TORT,NA,NA,1
58324,1999,6,26,303U,2,24.65367,-83.05665,15.9,9,2659891,ISOL_MR,7,3,24,123,LAC MAXI,0,0,1,1,ISOL_MR,DRY TORT,NA,NA,0
58325,1999,6,26,304U,1,24.65402,-83.05455,18.3,9,2663641,ISOL_MR,7,3,24,123,LAC MAXI,0,0,1,1,ISOL_MR,DRY TORT,NA,NA,0
58326,1999,6,26,304U,2,24.65402,-83.05455,18.3,9,2663641,ISOL_MR,7,3,24,123,LAC MAXI,0,0,1,1,ISOL_MR,DRY TORT,NA,NA,0
58327,1999,6,26,305U,1,24.654,-83.05418,15.6,9,2663641,ISOL_MR,7,3,24,123,LAC MAXI,0,0,1,1,ISOL_MR,DRY TORT,NA,NA,0
58328,1999,6,26,305U,1,24.654,-83.05418,17.4,9,2663641,ISOL_MR,7,3,24,123,LAC MAXI,18,0.5,1,1,ISOL_MR,DRY TORT,NA,NA,1
58329,1999,6,26,305U,1,24.654,-83.05418,17.4,9,2663641,ISOL_MR,7,3,24,123,LAC MAXI,30,0.5,1,1,ISOL_MR,DRY TORT,NA,NA,1
58330,1999,6,26,305U,2,24.654,-83.05418,16.8,9,2663641,ISOL_MR,7,3,24,123,LAC MAXI,0,0,1,1,ISOL_MR,DRY TORT,NA,NA,0
58331,1999,6,26,306U,1,24.64763,-83.04117,17.4,9,2689888,CONT_LR,7,3,0,123,LAC MAXI,0,0,1,0,CONT_LR,DRY TORT,NA,NA,0
58332,1999,6,26,306U,2,24.64763,-83.04117,16.5,9,2689888,CONT_LR,7,3,0,123,LAC MAXI,25,0.5,1,0,CONT_LR,DRY TORT,NA,NA,1
58333,1999,6,26,306U,2,24.64763,-83.04117,17.4,9,2689888,CONT_LR,7,3,0,123,LAC MAXI,28,1.5,1,0,CONT_LR,DRY TORT,NA,NA,2
58334,1999,6,26,306U,2,24.64763,-83.04117,16.5,9,2689888,CONT_LR,7,3,0,123,LAC MAXI,35,0.5,1,0,CONT_LR,DRY TORT,NA,NA,1
58335,1999,7,7,307U,1,24.66613,-83.09158,22,9,2592398,CONT_HR,7,3,24,123,LAC MAXI,0,0,1,1,CONT_HR,DRY TORT,NA,NA,0
58336,1999,7,7,307U,2,24.66662,-83.09178,21.6,9,2592399,CONT_HR,7,3,24,123,LAC MAXI,0,0,1,1,CONT_HR,DRY TORT,NA,NA,0
58337,1999,6,26,308U,1,24.6643,-83.025,16.5,9,2719897,CONT_LR,7,3,24,123,LAC MAXI,0,0,1,1,CONT_LR,DRY TORT,NA,NA,0
58338,1999,6,26,308U,1,24.6643,-83.025,16.5,9,2719897,CONT_LR,7,3,24,123,LAC MAXI,25,0.5,1,1,CONT_LR,DRY TORT,NA,NA,1
58339,1999,6,26,308U,1,24.6643,-83.025,16.5,9,2719897,CONT_LR,7,3,24,123,LAC MAXI,27,0.5,1,1,CONT_LR,DRY TORT,NA,NA,1
58340,1999,6,26,308U,2,24.6524,-83.02407,15.6,9,2719890,CONT_LR,7,3,24,123,LAC MAXI,0,0,1,1,CONT_LR,DRY TORT,NA,NA,0
58341,1999,7,8,309U,1,24.65843,-83.00083,25,9,2764894,ISOL_MR,7,3,24,123,LAC MAXI,0,0,1,1,ISOL_MR,DRY TORT,NA,NA,0
58342,1999,7,8,309U,2,24.65848,-83.00023,29.6,9,2764894,ISOL_MR,7,3,24,123,LAC MAXI,30,1,1,1,ISOL_MR,DRY TORT,NA,NA,1
58343,1999,7,7,310U,1,24.66995,-83.08407,21,9,2607401,CONT_HR,7,3,24,123,LAC MAXI,0,0,1,1,CONT_HR,DRY TORT,NA,NA,0
58344,1999,7,7,310U,2,24.66913,-83.08407,20.4,9,2607400,CONT_HR,7,3,24,123,LAC MAXI,0,0,1,1,CONT_HR,DRY TORT,NA,NA,0
58345,1999,7,8,311U,1,24.67073,-83.07585,21.3,9,2622401,CONT_LR,7,3,24,123,LAC MAXI,0,0,1,1,CONT_LR,DRY TORT,NA,NA,0
58346,1999,7,8,311U,2,24.67133,-83.07573,20.7,9,2622401,CONT_LR,7,3,24,123,LAC MAXI,-9,0.5,2,1,CONT_LR,DRY TORT,NA,NA,1
